###### This file has been automatically generated #####
######             EDIT WITH CARE!!!              #####
# Generated: August 27, 2014 5:19 PM
# Command: ROADMAPFILE OUTCOVER STREAM.MAP.DAT EFFWIDTH EFFDEPTH
# Workspace: c:\users\mbapt\desktop\150_m\farmington\run1\arcinfo
#                   Segment  Cut/Bank     Cut     Segment
#  Col  Row  ID      Length   Height     Width     Aspect   SINK?
#                     (m)      (m)        (m)       (d)    (optional)
#
31	40	1	74.9396	1.0299	0.0900	270.0000
32	40	1	149.9450	1.0299	0.0900	315.0000
32	41	1	150.0000	1.0299	0.0900	0.0000
32	42	1	181.0571	1.0299	0.0900	333.0000
33	43	1	181.0749	1.0299	0.0900	333.0000
33	44	1	150.0000	1.0299	0.0900	0.0000
33	45	1	 75.1155	1.0299	0.0900	0.0000
27	45	2	 74.9396	1.0568	0.0900	270.0000
28	45	2	150.0000	1.0568	0.0900	270.0000
29	45	2	150.0000	1.0568	0.0900	270.0000
30	45	2	150.0000	1.0568	0.0900	270.0000
31	45	2	150.0000	1.0568	0.0900	270.0000
32	45	2	150.0000	1.0568	0.0900	270.0000
33	45	2	 75.0604	1.0568	0.0900	270.0000
50	43	3	106.0271	1.1000	0.0900	45.0000
49	44	3	180.9895	1.1000	0.0900	27.0000
49	45	3	150.0000	1.1000	0.0900	0.0000
49	46	3	150.0137	1.1000	0.0900	0.0000
49	47	3	 75.1017	1.1000	0.0900	0.0000
40	27	4	 74.8845	1.0536	0.0900	0.0000
40	28	4	150.0000	1.0536	0.0900	0.0000
40	29	4	181.0571	1.0536	0.0900	333.0000
41	30	4	181.0749	1.0536	0.0900	333.0000
41	31	4	181.0571	1.0536	0.0900	333.0000
42	32	4	212.1320	1.0536	0.0900	315.0000
43	33	4	181.0749	1.0536	0.0900	333.0000
43	34	4	181.0571	1.0536	0.0900	333.0000
44	35	4	181.0749	1.0536	0.0900	333.0000
44	36	4	150.0000	1.0536	0.0900	0.0000
44	37	4	150.0000	1.0536	0.0900	0.0000
44	38	4	181.0571	1.0536	0.0900	333.0000
45	39	4	212.1320	1.0536	0.0900	315.0000
46	40	4	212.1320	1.0536	0.0900	315.0000
47	41	4	181.0749	1.0536	0.0900	333.0000
47	42	4	181.0571	1.0536	0.0900	333.0000
48	43	4	181.0749	1.0536	0.0900	333.0000
48	44	4	150.0000	1.0536	0.0900	0.0000
48	45	4	150.0000	1.0536	0.0900	0.0000
48	46	4	181.0571	1.0536	0.0900	333.0000
49	47	4	106.1904	1.0536	0.0900	315.0000
52	50	5	150.0000	1.1056	0.0900	90.0000
53	50	5	 75.0604	1.1056	0.0900	90.0000
51	50	5	180.9667	1.1056	0.0900	63.0000
50	51	5	106.1049	1.1056	0.0900	45.0000
49	47	6	 74.8845	1.1105	0.1200	0.0000
49	48	6	150.0000	1.1105	0.1200	0.0000
49	49	6	181.0571	1.1105	0.1200	333.0000
50	50	6	181.1189	1.1105	0.1200	333.0000
50	51	6	 75.0715	1.1105	0.1200	0.0000
33	45	7	105.9417	1.0562	0.1200	315.0000
34	46	7	212.1320	1.0562	0.1200	315.0000
35	47	7	212.1320	1.0562	0.1200	315.0000
36	48	7	212.1320	1.0562	0.1200	315.0000
37	49	7	212.1320	1.0562	0.1200	315.0000
38	50	7	212.1320	1.0562	0.1200	315.0000
39	51	7	181.0749	1.0562	0.1200	333.0000
39	52	7	181.0571	1.0562	0.1200	333.0000
40	53	7	212.1320	1.0562	0.1200	315.0000
41	54	7	181.0749	1.0562	0.1200	333.0000
41	55	7	181.0571	1.0562	0.1200	333.0000
42	56	7	212.1320	1.0562	0.1200	315.0000
43	57	7	212.1320	1.0562	0.1200	315.0000
44	58	7	212.1320	1.0562	0.1200	315.0000
45	59	7	212.1320	1.0562	0.1200	315.0000
46	60	7	181.0749	1.0562	0.1200	333.0000
46	61	7	 75.1155	1.0562	0.1200	0.0000
37	60	8	 74.9396	1.0175	0.0900	270.0000
38	60	8	181.0021	1.0175	0.0900	297.0000
