    1   1     0.00225         962.13203   2       7
    2   1     0.03546         900.00000   2       7
    3   1     0.00001         662.13203   2       6
    4   1     0.01226        3559.18831   2       6
    5   1     0.01088         512.13203   2       9
    6   2     0.00001         662.13203   3       9
    7   2     0.00422        3207.71645   3      10
    8   1     0.04237        1536.39610   2      10
    9   3     0.03584        2136.39610   3      13
   10   3     0.00001         212.13203   3      13
   11   1     0.00207        5819.84848   2      23
   12   1     0.00001         212.13203   1      23
   13   4     0.00586        4744.11255   4      16
   14   1     0.00001         150.00000   2      16
   15   1     0.02240        4718.37662   2      17
   16   5     0.00457        1236.39610   4      17
   17   6     0.00381         424.26407   5      19
   18   1     0.01483        6942.64069   2      19
   19   7     0.00393        1722.79221   5      22
   20   1     0.02918        1898.52814   2      22
   21   1     0.00447         212.13203   1      26
   22   8     0.00321        1660.66017   5      28
   23   2     0.00371        5644.11255   3      24
   24   3     0.02649        2897.05627   4      28
   25   1     0.04491         936.39610   1      26
   26   2     0.00345         848.52814   2      45
   27   1     0.01065        4971.32034   2      45
   28   9     0.00581         750.00000   5      33
   29   1     0.02346        1024.26407   2      33
   30   2     0.00001        1722.79221   3      24
   31   1     0.00001        1086.39610   2      30
   32   1     0.00001         450.00000   1      30
   33  10     0.00769        4345.58441   5      54
   34   1     0.07498        1236.39610   2      54
   35   1     0.02005        1872.79221   2      43
   36   1     0.02099        3372.79221   2      43
   37   1     0.02053        2534.92424   2      39
   38   1     0.03585        2172.79221   2      39
   39   2     0.02033         212.13203   3      42
   40   1     0.04085         450.00000   1      42
   41   1     0.08292         724.26407   1      48
   42   3     0.02661        2048.52814   3      48
   43   2     0.01484         962.13203   3      47
   44   1     0.06118         574.26407   1      47
   45   3     0.01511        8639.69696   4      49
   46   1     0.01067        1836.39610   2      59
   47   3     0.00502        1686.39610   3      59
   48   4     0.02364        2897.05627   3      49
   49   5     0.01516         424.26407   5      55
   50   1     0.02474        1360.66017   2      53
   51   3     0.03876        1448.52814   3      55
   52   1     0.02304         812.13203   2      53
   53   2     0.03942        2684.92424   3      51
   54  11     0.01595        4971.32034   5      61
   55   6     0.01024        2897.05627   5      61
   56   1     0.06873         574.26407   2      60
   57   1     0.03679        2234.92424   2      60
   58   1     0.03839        1112.13203   2      51
   59   4     0.01540        3471.32034   4      68
   60   2     0.07327        1386.39610   3      66
   61  12     0.00497        2084.92424   5      66 SAVE "GAGE 01185500"
   62   1     0.00053        1474.26407   2      92
   63   1     0.02971         512.13203   1      92
   64   1     0.06769         998.52814   1      68
   65   1     0.02046         724.26407   2      83
   66  13     0.00732         936.39610   5      82
   67   1     0.03235        4934.92424   2      79
   68   5     0.03508        2384.92424   4      79
   69   1     0.05462        1748.52814   2      83
   70   1     0.05790        3010.66017   2      82
   71   1     0.02588        2286.39610   2      80
   72   1     0.05466        2172.79221   2      80
   73   1     0.01710        7707.71645   3      78
   74   1     0.08224         962.13203   2      78
   76   1     0.00001         212.13203   2      88
   77   1     0.00767        2933.45238   2      88
   78   2     0.00979         636.39610   4      97
   79   6     0.02656        1510.66017   5      97 SAVE "GAGE 01187300"
   80   2     0.00497         900.00000   3      95
   81   1     0.02791        3347.05627   2      95
   82  14     0.00823        2260.66017   5     105
   83   2     0.00993        4045.58441   3      91
   84   1     0.00156        4707.71645   2     110
   85   1     0.05296        2984.92424   2     105
   86   1     0.03300        5969.84848   2      91
   87   2     0.00780         512.13203   3     110
   88   2     0.01242        2809.18831   3      94
   89   1     0.00001        1712.13203   2      94
   90   1     0.00001         212.13203   2      87
   91   3     0.01412        2084.92424   4     101
   92   2     0.00814        4459.18831   3     101
   93   1     0.02288        1686.39610   2     114
   94   3     0.01450        1148.52814   3     114
   95   3     0.02365        2897.05627   3     104
   96   1     0.03250        1024.26407   2     104
   97   7     0.00040        3124.26407   5     106
   98   1     0.00943        1810.66017   2     109
   99   1     0.09298         362.13203   1     106
  100   5     0.00588         962.13203   5     109
  101   4     0.00595        1510.66017   4     100
  102   1     0.00050        1748.52814   2      87
  103   1     0.00855         212.13203   1     100
  104   4     0.00460        1562.13203   4     129
  105  15     0.00114        3409.18831   5     129
  106   8     0.00001         962.13203   5     123
  107   1     0.04582        2772.79221   2     123
  108   1     0.00090        1810.66017   2     112
  109   6     0.00275        1024.26407   5     112
  110   3     0.00319        4097.05627   3     134
  111   8     0.00399         362.13203   5     134
  112   7     0.00272        1360.66017   5     111
  113   1     0.00001         150.00000   1     111
  114   4     0.01644        4144.11255   4     117
  115   1     0.01587        3248.52814   2     126
  116   1     0.02089        2084.92424   2     130
  117   5     0.00323         874.26407   4     126
  118   1     0.00001        1050.00000   2     143
  119   1     0.06194        1024.26407   1     143
  120   1     0.02482        1236.39610   2     121
  121   2     0.03200        2348.52814   3     130
  122   1     0.01771        5157.71645   2     117
  123   9     0.00001        1800.00000   5     142
  124   1     0.08001         750.00000   1     142
  125   1     0.01920         574.26407   2     127
  126   6     0.01623        2348.52814   5     127
  127   7     0.00037         574.26407   5     135
  128   1     0.02929        5131.98052   2     137
  129  16     0.00074        4019.84848   5     137
  130   3     0.02509        1960.66017   3     140
  131   1     0.00950         962.13203   2     121
  132   1     0.00984         786.39610   2     151
  133   1     0.00556         936.39610   2     151
  134   9     0.00201        2509.18831   5     152
  135   8     0.01926        2147.05627   5     153
  136   1     0.06033        1536.39610   2     158
  137  17     0.03978         786.39610   5     158
  138   8     0.00250        1536.39610   5     152
  139   1     0.00514        3036.39610   2     145
  140   4     0.02227        2322.79221   4     145
  141   1     0.08970        1148.52814   2     153
  142  10     0.00001        1800.00000   5     165
  143   2     0.00001        2074.26407   3     165
  144   1     0.04099        2597.05627   2     140
  145   5     0.00919         150.00000   4     150
  146   2     0.01643        4857.71645   3     135
  147   1     0.00001         636.39610   1     146
  148   1     0.01128        5944.11255   2     146
  149   1     0.05127        2410.66017   2     150
  150   6     0.00831        1210.66017   4     154
  151   2     0.00210        2198.52814   3     160
  152  10     0.00020        2571.32034   5     160
  153   9     0.02046        3259.18831   5     155
  154   7     0.00618        5095.58441   5     138
  155  10     0.00569         812.13203   5     159
  156   1     0.01223        1448.52814   2     154
  157   1     0.04533        2597.05627   2     155
  158  18     0.00469        3284.92424   5     209 SAVE "GAGE 01186000"
  159  11     0.00879        2322.79221   5     209 SAVE "GAGE 01186500"
  160  11     0.00001        1598.52814   5     172
  161  39     0.00001         724.26407   5     172
  162   1     0.00265        1986.39610   2     161
  163   1     0.01624        1686.39610   2     178
  164   1     0.00001        1050.00000   1     169
  165  11     0.00001        3310.66017   5     169
  166   1     0.02491         512.13203   2     167
  167  41     0.00276        8354.77272   5     178
  168   1     0.00001        2100.00000   1     176
  169  12     0.00001         362.13203   5     176
